1.2.47.5	aas	b2836	Z4154	ECs3693	
1.3.5.7	glyS	b3559	Z4983	ECs4442	
1.12.16.4	gmd	b2053	Z3217	ECs2858	
1.4.6.1	gmhA	b0222	Z0280	ECs0249	
1.4.19.7	gmk	b3648	Z5074	ECs4523	
1.9.28.4	gnd	b2029	Z3191	ECs2830	
1.11.33.6	gntK	b3437	Z4805	ECs4286	
1.9.14.8	gntP	b4321	Z5919	ECs5280	
1.1.19.6	gntR	b3438	Z4806	ECs4287	
1.3.15.6	gntT	b3415	Z4770	ECs4257	
1.9.33.6	gntU_1	b3436			
1.7.33.6	gntU_2	b3435	Z4804	ECs4285	
1.6.5.3	goaG	b1302	Z2486	ECs1879	
1.7.44.6	gor	b3500	Z4900	ECs4372	
1.2.41.6	gph	b3385	Z4738	ECs4227	
1.1.11.2	gpmA	b0755	Z0925	ECs0783	
1.10.10.8	gpmB	b4395	Z5997	ECs5353	
1.12.24.7	gppA	b3779	Z5289	ECs4712	
1.8.46.6	gpsA	b3608	Z5035	ECs4486	
1.12.8.1	gpt	b0238	Z0299	ECs0265	
1.11.38.6	greA	b3181	Z4543	ECs4060	
1.9.13.6	greB	b3406	Z4761	ECs4248	
1.4.28.5	grpE	b2614	Z3907	ECs3476	
1.11.26.2	grxA	b0849	Z1076	ECs0929	
1.8.31.2	grxB	b1064	Z1701	ECs1442	
1.12.46.6	grxC	b3610	Z5037	ECs4488	
1.5.24.5	gshA	b2688	Z3989	ECs3550	
1.6.1.6	gshB	b2947	Z4292	ECs3823	
1.9.47.1	gsk	b0477	Z0596	ECs0530	
1.2.42.5	gsp	b2988	Z4342	ECs3873	
1.3.45.3	gst	b1635	Z2647	ECs2344	
1.12.25.5	guaA	b2507	Z3771	ECs3369	
1.2.11.5	guaB	b2508	Z3772	ECs3370	
1.8.17.1	guaC	b0104	Z0114	ECs0108	
1.7.26.5	gutM	b2706	Z4013	ECs3562	
1.11.26.5	gutQ	b2708	Z4015	ECs3564	
1.9.15.4	gyrA	b2231	Z3484	ECs3114	
1.10.12.7	gyrB	b3699	Z5190	ECs4634	
1.4.16.5	hcaA1	b2538	Z3809	ECs3404	
1.6.16.5	hcaA2	b2539	Z3810	ECs3405	
1.10.16.5	hcaB	b2541	Z3813	ECs3407	
1.8.16.5	hcaC	b2540	Z3811	ECs3406	
1.12.16.5	hcaD	b2542	Z3814	ECs3408	
1.2.16.5	hcaR	b2537	Z3808	ECs3403	
1.12.49.4	hcaT	b2536	Z3807	ECs3402	
1.3.46.6	hdeA	b3510	Z4922	ECs4390	
1.1.46.6	hdeB	b3509	Z4921	ECs4389	
1.5.46.6	hdeD	b3511	Z4923	ECs4391	
1.7.8.4	hdhA	b1619	Z2624	ECs2327	
1.10.44.2	helD	b0962	Z1313	ECs1046	
1.3.21.3	hemA	b1210	Z1981	ECs1715	
1.9.14.1	hemB	b0369	Z0468	ECs0423	
1.9.12.7	hemC	b3805	Z5319	ECs4735	
1.7.12.7	hemD	b3804	Z5318	ECs4734	
1.7.8.8	hemE	b3997	Z5572	ECs4920	
1.2.48.4	hemF	b2436	Z3701	ECs3307	
1.3.20.7	hemG	b3850	Z5372	ECs4778	
1.5.47.1	hemH	b0475	Z0592	ECs0528	
1.7.21.3	hemK	b1212	Z1983	ECs1717	
1.12.25.1	hemL	b0154	Z0165	ECs0158	
1.1.21.3	hemM	b1209	Z1980	ECs1714	
1.1.22.7	hemN	b3867	Z5403	ECs4789	
1.5.12.7	hemX	b3803	Z5317	ECs4733	
1.3.12.7	hemY	b3802	Z5316	ECs4732	
1.11.25.1	hepA	b0059	Z0067	ECs0063	
1.5.38.6	hflB	b3178	Z4540	ECs4057	
1.4.40.7	hflC	b4175	Z5782	ECs5151	
1.2.40.7	hflK	b4174	Z5781	ECs5150	
1.12.5.8	hflX	b4173	Z5780	ECs5149	
1.10.5.8	hfq	b4172	Z5779	ECs5148	
1.11.10.2	hha	b0460	Z0573	ECs0513	
1.12.41.3	himA	b1712	Z2741	ECs2419	
1.6.36.2	himD	b0912	Z1258	ECs0995	
1.11.8.3	hipA	b1507	Z2197		
1.1.24.3	hipB	b1508			
1.11.42.4	hisA	b2024	Z3186	ECs2825	
1.7.42.4	hisB	b2022	Z3184	ECs2823	
1.5.42.4	hisC	b2021	Z3183	ECs2822	
1.3.42.4	hisD	b2020	Z3182	ECs2821	
1.1.28.4	hisF	b2025	Z3187	ECs2826	
1.1.42.4	hisG	b2019	Z3181	ECs2820	
1.9.42.4	hisH	b2023	Z3185	ECs2824	
1.3.28.4	hisI	b2026	Z3188	ECs2827	
1.9.43.4	hisJ	b2309	Z3571	ECs3193	
1.11.26.4	hisL	b2018			
1.5.43.4	hisM	b2307	Z3569	ECs3191	
1.3.43.4	hisP	b2306	Z3568	ECs3190	
1.7.43.4	hisQ	b2308	Z3570	ECs3192	
1.2.27.5	hisS	b2514	Z3777	ECs3376	
1.12.29.1	hlpA	b0178	Z0190	ECs0180	
1.7.1.3	hlyE	b1182	Z1944	ECs1677	
1.8.18.5	hmpA	b2552	Z3828	ECs3418	
1.1.25.3	hnr	b1235	Z2011	ECs1737	
1.5.25.3	hns	b1237	Z2013	ECs1739	
1.2.3.1	hofB	b0107	Z0117	ECs0111	
1.12.17.1	hofC	b0106	Z0116	ECs0110	
1.10.17.6	hofD	b3335			
1.6.31.6	hofF	b3327			
1.8.31.6	hofG	b3328			
1.10.31.6	hofH	b3329			
1.2.27.6	hofQ	b3391	Z4744	ECs4233	
1.2.44.1	holA	b0640	Z0787	ECs0678	
1.7.21.2	holB	b1099	Z1738	ECs1477	
1.5.38.7	holC	b4259	Z5871	ECs5236	
1.9.22.8	holD	b4372	Z5973	ECs5330	
1.11.32.3	holE	b1842	Z2891	ECs2552	
1.9.39.10	hopD		Z4693	ECs4188	
1.2.21.1	hpt	b0125	Z0136	ECs0129	
1.2.24.3	hrpA	b1413	Z2313	ECs2015	
1.12.9.1	hrpB	b0148	Z0159	ECs0152	
1.3.42.1	hrsA	b0731			
1.4.14.5	hscA	b2526	Z3793	ECs3392	
1.5.34.8	hsdM	b4349			
1.7.34.8	hsdR	b4350			
1.3.34.8	hsdS	b4348			
1.6.18.3	hslJ	b1379	Z2330	ECs2001	
1.11.47.7	hslU	b3931	Z5478	ECs4858	
1.1.33.7	hslV	b3932	Z5479	ECs4859	
1.1.3.1	htgA	b0012	Z0012	ECs0011	
1.1.47.1	htpG	b0473	Z0590	ECs0526	
1.8.46.3	htpX	b1829	Z2876	ECs2539	
1.2.27.1	htrA	b0161	Z0173	ECs0165	
1.12.29.2	htrB	b1054	Z1690	ECs1432	
1.3.41.7	htrC	b3989	Z5563	ECs4912	
1.6.23.1	htrE	b0139			
1.1.11.9	htrE		Z0150	ECs0143	
1.4.48.6	htrL	b3618	Z5045	ECs4496	
1.4.27.7	hupA	b4000	Z5576	ECs4923	
1.9.41.1	hupB	b0440	Z0547	ECs0494	
1.4.46.2	hyaA	b0972	Z1389	ECs1128	
1.6.46.2	hyaB	b0973	Z1390	ECs1129	
1.8.46.2	hyaC	b0974	Z1391	ECs1130	
1.10.46.2	hyaD	b0975	Z1392	ECs1131	
1.12.46.2	hyaE	b0976	Z1393	ECs1132	
1.4.17.2	hyaF	b0977	Z1394	ECs1133	
1.6.9.6	hybA	b2996	Z4350	ECs3881	
1.4.9.6	hybB	b2995	Z4349	ECs3880	
1.2.9.6	hybC	b2994	Z4348	ECs3879	
1.12.42.5	hybD	b2993	Z4347	ECs3878	
1.10.42.5	hybE	b2992	Z4346	ECs3877	
1.8.42.5	hybF	b2991	Z4345	ECs3876	
1.6.42.5	hybG	b2990	Z4344	ECs3875	
1.11.29.5	hycA	b2725	Z4033	ECs3581	
1.9.29.5	hycB	b2724	Z4032	ECs3580	
1.7.29.5	hycC	b2723	Z4031	ECs3579	
1.5.29.5	hycD	b2722	Z4030	ECs3578	
1.3.29.5	hycE	b2721	Z4029	ECs3577	
1.11.28.5	hycF	b2720	Z4028	ECs3576	
1.9.28.5	hycG	b2719	Z4027	ECs3575	
1.7.28.5	hycH	b2718	Z4026	ECs3574	
1.5.28.5	hycI	b2717	Z4025	ECs3573	
1.12.27.7	hydG	b4004	Z5580	ECs4927	
1.10.27.7	hydH	b4003	Z5579	ECs4926	
1.9.12.5	hydN	b2713	Z4021	ECs3569	
1.8.21.5	hyfA	b2481	Z3741	ECs3343	
1.10.21.5	hyfB	b2482	Z3742	ECs3344	
1.12.21.5	hyfC	b2483	Z3743	ECs3345	
1.2.7.5	hyfD	b2484	Z3744	ECs3346	
1.4.7.5	hyfE	b2485	Z3745	ECs3347	
1.6.7.5	hyfF	b2486	Z3746	ECs3348	
1.8.7.5	hyfG	b2487	Z3747	ECs3349	
1.10.7.5	hyfH	b2488	Z3748	ECs3350	
1.12.7.5	hyfI	b2489	Z3749	ECs3351	
1.4.23.5	hyfR	b2491	Z3751	ECs3353	
1.1.45.5	hypA	b2726	Z4035	ECs3582	
1.3.45.5	hypB	b2727	Z4036	ECs3583	
1.5.45.5	hypC	b2728	Z4037	ECs3584	
1.7.45.5	hypD	b2729	Z4038	ECs3585	
1.9.45.5	hypE	b2730	Z4039	ECs3586	
1.7.12.5	hypF	b2712	Z4020	ECs3568	
1.11.30.8	iadA	b4328	Z5927	ECs5286	
1.7.49.5	iap	b2753	Z4061	ECs3607	
1.8.25.7	ibpA	b3687	Z5183	ECs4627	
1.6.25.7	ibpB	b3686	Z5182	ECs4626	
1.7.48.5	icc	b3032	Z4389	ECs3920	
1.9.27.2	icdA	b1136	Z1865	ECs1608	
1.4.30.5	iciA	b2916	Z4253	ECs3786	
1.8.29.7	iclR	b4018	Z5609	ECs4936	
1.9.5.8	idnD	b4267			
1.11.5.8	idnK	b4268			
1.7.5.8	idnO	b4266			
1.3.5.8	idnR	b4264			
1.5.5.8	idnT	b4265			
1.5.5.1	ileS	b0026	Z0030	ECs0029	
1.10.8.7	ilvA	b3772	Z5283	ECs4706	
1.12.7.7	ilvB	b3671	Z5165	ECs4612	
1.2.24.7	ilvC	b3774	Z5285	ECs4708	
1.8.8.7	ilvD	b3771	Z5282	ECs4705	
1.6.8.7	ilvE	b3770	Z5281	ECs4704	
1.2.8.7	ilvG_1	b3767	Z5279	ECs4702	
1.1.29.1	ilvH	b0078	Z0088	ECs0082	
1.11.13.1	ilvI	b0077	Z0087		
1.12.22.7	ilvL	b3766	Z5278	ECs4701	
1.4.8.7	ilvM	b3769	Z5280	ECs4703	
1.10.7.7	ilvN	b3670	Z5164	ECs4611	
1.12.8.7	ilvY	b3773	Z5284	ECs4707	
1.1.25.1	imp	b0054	Z0063	ECs0059	
1.9.31.4	inaA	b2237	Z3493	ECs3120	
1.10.16.2	infA	b0884	Z1228	ECs0969	
1.1.22.6	infB	b3168	Z4529	ECs4049	
1.12.8.4	infC	b1718	Z2747	ECs2425	
1.9.19.1	insA_1	b0022			
1.4.28.1	insA_2	b0265			
1.12.14.1	insA_3	b0275			
1.7.7.4	insA_5	b1894			
1.1.35.6	insA_6	b3444			
1.3.10.8	insA_7	b4294		ECs1373	
1.7.19.1	insB_1	b0021			
1.2.28.1	insB_2	b0264			
1.10.14.1	insB_3	b0274			
1.2.19.2	insB_4	b0988			
1.5.7.4	insB_5	b1893			
1.3.35.6	insB_6	b3445			
1.7.47.4	intA	b2622			
1.3.40.7	intB	b4271			
1.5.1.5	intC	b2349	Z3613	ECs3231	
1.10.41.1	intD	b0537			
1.5.43.2	intE	b1140			
1.12.30.1	intF	b0281			
1.11.15.9	intH		Z0307	ECs0271	
1.11.19.11	intL		Z5087	ECs4534	
1.4.29.9	intN		Z1764	ECs1501	
1.6.36.9	intO		Z2036	ECs1757	
1.1.32.10	intP_1		Z2566		
1.11.32.10	intT		Z2966	ECs2617	
1.4.14.10	intU		Z3130	ECs2773	
1.10.29.10	intV		Z3375	ECs3013	
1.3.2.9	intW		Z1424	ECs1160	
1.7.4.2	ispA	b0421	Z0524	ECs0475	
1.11.24.6	ispB	b3187	Z4550	ECs4066	
1.2.23.7	ivbL	b3672	Z5166	ECs4613	
1.4.45.3	katE	b1732	Z2761	ECs2438	
1.9.49.7	katG	b3942	Z5497	ECs4871	
1.2.48.6	kbl	b3617	Z5044	ECs4495	
1.7.27.3	kch	b1250	Z2028	ECs1750	
1.11.48.6	kdgK	b3526	Z4940	ECs4406	
1.3.29.7	kdgT	b3909	Z5454	ECs4835	
1.9.36.1	kdpA	b0698	Z0845	ECs0726	
1.7.36.1	kdpB	b0697	Z0844	ECs0725	
1.5.36.1	kdpC	b0696	Z0843	ECs0724	
1.3.36.1	kdpD	b0695	Z0842	ECs0723	
1.1.36.1	kdpE	b0694	Z0841	ECs0722	
1.1.7.3	kdsA	b1215	Z1986	ECs1720	
1.6.22.2	kdsB	b0918	Z1264	ECs1001	
1.10.1.7	kdtA	b3633	Z5057	ECs4508	
1.12.1.7	kdtB	b3634	Z5058	ECs4509	
1.2.33.5	kduD	b2842	Z4162	ECs3699	
1.4.33.5	kduI	b2843	Z4163	ECs3700	
1.4.35.6	kefB	b3350	Z4710	ECs4201	
1.11.23.1	kefC	b0047	Z0053	ECs0050	
1.6.24.5	kgtP	b2587	Z3872	ECs3454	
1.3.4.9	kilW		Z1439		
1.7.9.1	ksgA	b0051	Z0060	ECs0056	
1.10.20.7	kup	b3747	Z5248	ECs4689	
1.3.10.1	lacA	b0342	Z0438	ECs0395	
1.9.10.1	lacI	b0345	Z0441	ECs0398	
1.5.10.1	lacY	b0343	Z0439	ECs0396	
1.7.10.1	lacZ	b0344	Z0440	ECs0397	
1.8.47.7	lamB	b4036	Z5634	ECs5019	
1.2.13.3	lar	b1348	Z2412	ECs1932	
1.2.12.8	lasT	b4403	Z6006	ECs5361	
1.4.31.1	ldcC	b0186	Z0198	ECs0188	
1.8.18.3	ldhA	b1380	Z2329	ECs2002	
1.6.6.5	lepA	b2569	Z3851	ECs3435	
1.4.6.5	lepB	b2568	Z3850	ECs3434	
1.5.13.1	leuA	b0074	Z0083	ECs0078	
1.3.13.1	leuB	b0073	Z0082	ECs0077	
1.1.13.1	leuC	b0072	Z0081	ECs0076	
1.11.27.1	leuD	b0071	Z0080	ECs0075	
1.7.13.1	leuL	b0075	Z0084	ECs0079	
1.9.13.1	leuO	b0076	Z0086	ECs0080	
1.6.44.1	leuS	b0642	Z0789	ECs0680	
1.10.33.7	lexA	b4043	Z5642	ECs5026	
1.10.45.5	lgt	b2828	Z4145	ECs3685	
1.6.47.3	lhr	b1653	Z2673	ECs2362	
1.9.25.5	lig	b2411	Z3677	ECs3283	
1.2.42.1	lipA	b0628	Z0773	ECs0666	
1.6.42.1	lipB	b0630	Z0775	ECs0668	
1.3.43.2	lit	b1139			
1.9.21.6	livF	b3454	Z4824	ECs4301	
1.11.21.6	livG	b3455	Z4825	ECs4302	
1.3.37.6	livH	b3457	Z4827	ECs4304	
1.9.37.6	livJ	b3460	Z4834	ECs4309	
1.5.37.6	livK	b3458	Z4829	ECs4305	
1.1.37.6	livM	b3456	Z4826	ECs4303	
1.2.46.6	lldD	b3605	Z5032	ECs4483	
1.10.11.7	lldP	b3603	Z5030	ECs4481	
1.12.11.7	lldR	b3604	Z5031	ECs4482	
1.12.46.1	lnt	b0657	Z0806	ECs0695	
1.12.32.2	lolA	b0891	Z1237	ECs0976	
1.6.43.8	lomK		Z0981	ECs0843	
1.2.16.11	lomP		Z6028		
1.7.38.10	lomU		Z3075	ECs2160	
1.3.41.9	lomW		Z1489	ECs1236	
1.7.41.1	lon	b0439	Z0545	ECs0493	
1.8.19.1	lpdA	b0116	Z0126	ECs0120	
1.1.40.8	lplA	b4386	Z5988	ECs5345	
1.2.2.4	lpp	b1677	Z2705	ECs2384	
1.6.15.1	lpxA	b0181	Z0193	ECs0183	
1.8.15.1	lpxB	b0182	Z0194	ECs0184	
1.4.1.1	lpxC	b0096	Z0106	ECs0100	
1.2.15.1	lpxD	b0179	Z0191	ECs0181	
1.5.25.4	lrhA	b2289	Z3549	ECs3173	
1.8.32.2	lrp	b0889	Z1234	ECs0974	
1.7.5.1	lspA	b0027	Z0031	ECs0030	
1.6.47.5	lysA	b2838	Z4156	ECs3695	
1.8.45.7	lysC	b4024	Z5622	ECs5007	
1.4.19.4	lysP	b2156	Z3413	ECs3048	
1.8.47.5	lysR	b2839	Z4157	ECs3696	
1.12.6.6	lysS	b2890	Z4228	ECs3762	
1.4.48.7	lysU	b4129	Z5732	ECs5111	
1.11.5.1	lytB	b0029	Z0034	ECs0032	
1.9.23.7	lyxK	b3580			
1.4.47.7	malE	b4034	Z5632	ECs5017	
1.2.47.7	malF	b4033	Z5631	ECs5016	
1.12.31.7	malG	b4032	Z5630	ECs5015	
1.9.8.4	malI	b1620	Z2625	ECs2328	
1.6.47.7	malK	b4035	Z5633	ECs5018	
1.10.47.7	malM	b4037	Z5635	ECs5020	
1.7.15.6	malP	b3417	Z4772	ECs4259	
1.5.15.6	malQ	b3416	Z4771	ECs4258	
1.3.7.7	malS	b3571	Z4996	ECs4454	
1.9.15.6	malT	b3418	Z4774	ECs4260	
1.11.8.4	malX	b1621	Z2626	ECs2329	
1.1.43.3	malY	b1622	Z2627	ECs2330	
1.7.35.1	malZ	b0403	Z0501	ECs0453	
1.7.41.3	manA	b1613	Z2616	ECs2319	
1.8.30.10	manC		Z3195	ECs2836	
1.8.44.3	manX	b1817	Z2860	ECs2527	
1.10.44.3	manY	b1818	Z2861	ECs2528	
1.12.44.3	manZ	b1819	Z2862	ECs2529	
1.10.4.3	maoC	b1387			
1.4.13.1	map	b0168	Z0178	ECs0170	
1.11.12.3	marA	b1531	Z2170	ECs2138	
1.1.28.3	marB	b1532			
1.9.12.3	marR	b1530	Z2171	ECs2137	
1.3.39.5	mazG	b2781	Z4096	ECs3641	
1.8.22.1	mbhA	b0230	Z0291	ECs0256	
1.7.31.2	mcrA	b1159			
1.11.18.8	mcrB	b4346			
1.9.18.8	mcrC	b4345			
1.7.18.8	mcrD	b4344			
1.3.42.2	mdaA	b0851	Z1078	ECs0931	
1.11.32.5	mdaB	b3028	Z4379	ECs3910	
1.4.32.6	mdh	b3236	Z4595	ECs4109	
1.1.43.1	mdlA	b0448	Z0557	ECs0502	
1.3.43.1	mdlB	b0449	Z0559	ECs0503	
1.1.36.8	mdoB	b4359	Z5959	ECs5319	
1.12.43.2	mdoG	b1048	Z1683	ECs1426	
1.2.29.2	mdoH	b1049	Z1684	ECs1427	
1.8.46.7	melA	b4119	Z5721	ECs5101	
1.10.46.7	melB	b4120	Z5722	ECs5102	
1.6.46.7	melR	b4118	Z5720	ECs5100	
1.9.47.7	menA	b3930	Z5477	ECs4857	
1.11.35.4	menB	b2262	Z3522	ECs3150	
1.9.35.4	menC	b2261	Z3521	ECs3149	
1.3.21.4	menD	b2264	Z3524	ECs3152	
1.7.35.4	menE	b2260	Z3520	ECs3148	
1.5.21.4	menF	b2265	Z3525	ECs3153	
1.7.47.7	menG	b3929	Z5476	ECs4856	
1.1.13.5	mepA	b2328	Z3591	ECs3212	
1.8.31.1	mesJ	b0188	Z0200	ECs0190	
1.10.43.7	metA	b4013	Z5599	ECs4931	
1.3.49.7	metB	b3939	Z5494	ECs4868	
1.6.11.6	metC	b3008	Z4361	ECs3892	
1.9.16.7	metE	b3829	Z5351	ECs4759	
1.7.49.7	metF	b3941	Z5496	ECs4870	
1.2.42.4	metG	b2114	Z3282	ECs2920	
1.10.29.7	metH	b4019	Z5610	ECs4937	
1.1.49.7	metJ	b3938	Z5493	ECs4867	
1.8.34.5	metK	b2942	Z4287	ECs3818	
1.5.49.7	metL	b3940	Z5495	ECs4869	
1.7.16.7	metR	b3828	Z5349	ECs4758	
1.1.39.2	mfd	b1114	Z1754	ECs1492	
1.2.33.4	mglA	b2149	Z3404	ECs3041	
1.4.33.4	mglB	b2150	Z3405	ECs3042	
1.12.17.4	mglC	b2148	Z3403	ECs3040	
1.12.44.2	mgsA	b0963	Z1314	ECs1047	
1.7.1.8	mgtA	b4242	Z5853	ECs5219	
1.1.26.1	mhpA	b0347	Z0445	ECs0402	
1.3.26.1	mhpB	b0348	Z0446	ECs0403	
1.5.26.1	mhpC	b0349	Z0447	ECs0404	
1.7.26.1	mhpD	b0350	Z0448	ECs0405	
1.11.26.1	mhpE	b0352	Z0452	ECs0407	
1.9.26.1	mhpF	b0351	Z0450	ECs0406	
1.11.10.1	mhpR	b0346	Z0444	ECs0401	
1.1.12.1	mhpT	b0353	Z0453	ECs0408	
1.8.5.8	miaA	b4171	Z5778	ECs5147	
1.7.15.3	minC	b1176	Z1938	ECs1670	
1.5.15.3	minD	b1175	Z1937	ECs1669	
1.3.15.3	minE	b1174	Z1936	ECs1668	
1.12.4.7	mioC	b3742	Z5243	ECs4684	
1.11.22.2	mipB	b0825	Z1048	ECs0903	
1.5.4.4	mlc	b1594	Z2587	ECs2300	
1.7.10.6	mltA	b2813	Z4130	ECs3673	
1.9.10.5	mltB	b2701	Z4004	ECs3558	
1.2.38.5	mltC	b2963	Z4308	ECs3839	
1.5.3.3	mltE	b1193	Z1956	ECs1687	
1.5.15.2	moaA	b0781	Z1000	ECs0859	
1.7.15.2	moaB	b0782	Z1001	ECs0860	
1.9.15.2	moaC	b0783	Z1002	ECs0861	
1.11.15.2	moaD	b0784	Z1003	ECs0862	
1.3.16.2	moaE	b0785	Z1004	ECs0863	
1.7.20.7	mobA	b3857	Z5389	ECs4780	
1.5.20.7	mobB	b3856	Z5388	ECs4779	
1.5.46.1	modA	b0763	Z0933	ECs0791	
1.7.46.1	modB	b0764	Z0934	ECs0792	
1.9.46.1	modC	b0765	Z0935	ECs0793	
1.12.34.9	modD		Z1962	ECs1694	
1.1.46.1	modE	b0761	Z0931	ECs0789	
1.11.11.2	modF	b0760	Z0930	ECs0788	
1.3.38.2	moeA	b0827	Z1050	ECs0905	
1.1.38.2	moeB	b0826	Z1049	ECs0904	
1.7.17.1	mog	b0009	Z0009	ECs0009	
1.4.42.4	molR_1	b2115			
1.6.42.4	molR_2	b2116			
1.8.42.4	molR_3	b2117			
1.12.18.10	molR_A		Z3283	ECs2921	
1.2.34.10	molR_B		Z3284	ECs2922	
1.4.34.10	molR_C		Z3285	ECs2923	
1.6.34.10	molR_D		Z3286	ECs2924	
1.6.1.8	mopA	b4143	Z5748	ECs5124	
1.4.1.8	mopB	b4142	Z5747	ECs5123	
1.11.40.3	motA	b1890	Z2944	ECs2600	
1.9.40.3	motB	b1889	Z2943	ECs2599	
1.7.15.1	mraY	b0087	Z0097	ECs0091	
1.12.27.6	mrcA	b3396	Z4750	ECs4238	
1.2.25.1	mrcB	b0149	Z0160	ECs0153	
1.4.9.2	mrdA	b0635	Z0781	ECs0673	
1.2.9.2	mrdB	b0634	Z0780	ECs0672	
1.10.34.6	mreB	b3251	Z4610	ECs4123	
1.8.34.6	mreC	b3250	Z4609	ECs4122	
1.6.34.6	mreD	b3249	Z4607	ECs4121	
1.12.26.4	mrp	b2113	Z3281	ECs2919	
1.9.34.8	mrr	b4351			
1.1.38.6	mrsA	b3176	Z4538	ECs4055	
1.10.36.2	msbA	b0914	Z1260	ECs0997	
1.1.1.4	msbB	b1855	Z2907	ECs2565	
1.4.40.6	mscL	b3291	Z4661	ECs4156	
1.9.46.7	msrA	b4219	Z5830	ECs5197	
1.6.29.2	msyB	b1051	Z1686	ECs1429	
1.8.12.6	mtgA	b3208	Z4571	ECs4087	
1.2.11.7	mtlA	b3599	Z5023	ECs4475	
1.4.11.7	mtlD	b3600	Z5024	ECs4476	
1.6.11.7	mtlR	b3601	Z5025	ECs4477	
1.11.20.6	mtr	b3161	Z4522	ECs4042	
1.6.38.2	mukB	b0924	Z1271	ECs1007	
1.4.38.2	mukE	b0923	Z1270	ECs1006	
1.2.38.2	mukF	b0922	Z1269	ECs1005	
1.3.40.6	murA	b3189	Z4552	ECs4068	
1.1.39.7	murB	b3972	Z5543	ECs4899	
1.3.31.1	murC	b0091	Z0101	ECs0095	
1.9.15.1	murD	b0088	Z0098	ECs0092	
1.3.15.1	murE	b0085	Z0095	ECs0089	
1.5.15.1	murF	b0086	Z0096	ECs0090	
1.1.31.1	murG	b0090	Z0100	ECs0094	
1.11.4.8	murI	b3967	Z5528	ECs4898	
1.4.31.5	mutH	b2831	Z4149	ECs3688	
1.6.5.8	mutL	b4170	Z5777	ECs5146	
1.2.17.7	mutM	b3635	Z5059	ECs4510	
1.3.31.5	mutS	b2733	Z4043	ECs3589	
1.10.1.1	mutT	b0099	Z0109	ECs0103	
1.10.3.6	mutY	b2961	Z4306	ECs3837	
1.4.47.2	mviM	b1068	Z1705	ECs1446	
1.6.47.2	mviN	b1069	Z1707	ECs1447	
1.1.22.4	nac	b1988	Z3147	ECs2784	
1.3.44.1	nadA	b0750	Z0919	ECs0778	
1.4.22.5	nadB	b2574	Z3856	ECs3440	
1.6.3.1	nadC	b0109	Z0119	ECs0113	
1.8.12.4	nadE	b1740	Z2770	ECs2446	
1.9.40.8	nadR	b4390	Z5991	ECs5348	
1.2.15.2	nagA	b0677	Z0824	ECs0707	
1.4.15.2	nagB	b0678	Z0825	ECs0708	
1.12.48.1	nagC	b0676	Z0823	ECs0706	
1.10.48.1	nagD	b0675	Z0822	ECs0705	
1.6.15.2	nagE	b0679	Z0826	ECs0709	
1.6.30.6	nanA	b3225	Z4583	ECs4098	
1.4.30.6	nanT	b3224	Z4582	ECs4097	
1.6.27.4	napA	b2206	Z3463	ECs3095	
1.12.41.4	napB	b2203	Z3460	ECs3092	
1.10.41.4	napC	b2202	Z3459	ECs3091	
1.8.27.4	napD	b2207	Z3464	ECs3096	
1.10.27.4	napF	b2208	Z3465	ECs3097	
1.4.27.4	napG	b2205	Z3462	ECs3094	
1.2.27.4	napH	b2204	Z3461	ECs3093	
1.7.23.3	narG	b1224	Z2001	ECs1729	
1.9.23.3	narH	b1225	Z2002	ECs1730	
1.1.9.3	narI	b1227	Z2004	ECs1732	
1.11.23.3	narJ	b1226	Z2003	ECs1731	
1.5.23.3	narK	b1223	Z2000	ECs1728	
1.1.23.3	narL	b1221	Z1996	ECs1726	
1.4.25.4	narP	b2193	Z3450	ECs3082	
1.8.19.5	narQ	b2469	Z3726	ECs3331	
1.7.2.3	narU	b1469	Z2243	ECs2072	
1.11.16.3	narV	b1465	Z2247	ECs2068	
1.1.2.3	narW	b1466	Z2246	ECs2069	
1.3.23.3	narX	b1222	Z1998	ECs1727	
1.3.2.3	narY	b1467	Z2245	ECs2070	
1.5.2.3	narZ	b1468	Z2244	ECs2071	
1.3.23.2	ndh	b1109	Z1748	ECs1487	
1.10.27.5	ndk	b2518	Z3781	ECs3380	
1.5.5.2	nei	b0714	Z0865	ECs0739	
1.12.31.3	nemA	b1650	Z2668	ECs2359	
1.9.8.8	nfi	b3998	Z5574	ECs4921	
1.8.14.2	nfnB	b0578	Z0717	ECs0616	
1.10.19.4	nfo	b2159	Z3416	ECs3051	
1.12.12.2	nfrA	b0568	Z0698	ECs0600	
1.2.47.1	nfrB	b0569	Z0699	ECs0601	
1.3.19.1	nhaA	b0019	Z0018	ECs0017	
1.3.17.3	nhaB	b1186	Z1949	ECs1681	
1.5.19.1	nhaR	b0020	Z0019	ECs0018	
1.5.25.6	nikA	b3476	Z4868	ECs4343	
1.7.25.6	nikB	b3477	Z4869	ECs4344	
1.9.25.6	nikC	b3478			
1.11.25.6	nikD	b3479			
1.1.41.6	nikE	b3480	Z4872	ECs4347	
1.8.43.1	ninE	b0548		ECs1617	
1.10.37.6	nirB	b3365	Z4726	ECs4216	
1.2.23.6	nirC	b3367	Z4728	ECs4218	
1.12.37.6	nirD	b3366	Z4727	ECs4217	
1.1.40.6	nlp	b3188	Z4551	ECs4067	
1.4.21.7	nlpA	b3661	Z5147	ECs4595	
